CLIA Number,Laboratory Name,Certificate,City,State
01D2119386,TIDE LABORATORIES LLC,3,FORT PAYNE,AL
01D2143147,LAB WORKS,3,HOMEWOOD,AL
01D2144684,CORE DIAGNOSTIC LABORATORIES LLC,3,BIRMINGHAM,AL
01D2151194,"GULF COAST MOLECULAR LABORATORIES, LLC",3,SPANISH FORT,AL
01D2151225,RED MOUNTAIN DIAGNOSTICS,1,HOMEWOOD,AL
02D0066328,CENTRAL PENINSULA GENERAL HOSPITAL,3,SOLDOTNA,AK
02D0640325,ALASKA NATIVE MED CENTER CLINICAL LAB,3,ANCHORAGE,AK
02D0640501,ALASKA REGIONAL HOSPITAL LAB,3,ANCHORAGE,AK
02D0640989,PROVIDENCE KODIAK ISLAND,3,KODIAK,AK
02D0641026,MAT-SU REGIONAL MEDICAL CENTER,3,PALMER,AK
02D0641146,MAT-SU REGIONAL OUTPATIENT CENTER,3,WASILLA,AK
02D0641210,"FOUNDATION HEALTH, LLC",3,FAIRBANKS,AK
02D0641299,MANIILAQ HEALTH CENTER,3,KOTZEBUE,AK
02D0641354,BARTLETT REGIONAL HOSPITAL,3,JUNEAU,AK
02D0641414,MOUNT EDGECUMBE HOSPITAL SEARHC,3,SITKA,AK
02D0641454,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3,KETCHIKAN,AK
02D0641823,YUKON KUSKOKWIM DELTA REG HOSPITAL,3,BETHEL,AK
02D0641844,SAMUEL SIMMONDS MEMORIAL HOSPITAL LAB,3,BARROW,AK
02D0641849,NORTON SOUND REGIONAL HOSPITAL - LAB,3,NOME,AK
02D0663791,SOUTH PENINSULA HOSPITAL,1,HOMER,AK
02D0674496,ALASKA STATE PUBLIC HEALTH LABORATORY,1,ANCHORAGE,AK
02D0674508,ALASKA STATE VIROLOGY LABORATORY,1,FAIRBANKS,AK
02D0674836,PROVIDENCE ALASKA MEDICAL CTR LAB,3,ANCHORAGE,AK
02D0959385,PENINSULA PATHOLOGY INSTITUTE,3,SOLDOTNA,AK
02D1037431,PATHOLOGY ASSOCIATES ARH LABORATORY,3,ANCHORAGE,AK
02D2046936,CHIEF ANDREW ISAAC HEALTH CENTER LABORATORY,3,FAIRBANKS,AK
02D2072470,"FOUNDATION HEALTH, LLC",1,FAIRBANKS,AK
02D2097403,"MEDICAL PARK FAMILY CARE, INC",3,ANCHORAGE,AK
03D0053373,NORTHERN ARIZONA DERMATOLOGY CENTER PC,1,FLAGSTAFF,AZ
03D0057138,MARICOPA COUNTY PUBLIC HEALTH LAB,1,PHOENIX,AZ
03D0057140,PHOENIX CHILDRENS HOSPITAL-THOMAS,3,PHOENIX,AZ
03D0057725,"HCH TUCSON HOLDINGS, LLC DBA HOLY CROSS HOSPITAL",3,NOGALES,AZ
03D0057902,NAU-CAMPUS HEALTH SERVICES LABORATORY,3,FLAGSTAFF,AZ
03D0057925,LITTLE COLORADO MEDICAL CENTER,1,WINSLOW,AZ
03D0526219,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,3,PHOENIX,AZ
03D0526290,ST LUKE'S MEDICAL CENTER,1,PHOENIX,AZ
03D0526359,VALLEYWISE HEALTH MEDICAL CENTER,3,PHOENIX,AZ
