CLIA Number,Laboratory Name,Certificate,City,State,Formatted_address,Zip_code,lat,lng
01D0026356,SHELBY BAPTIST MEDICAL CENTER,3,ALABASTER,AL,"1000 1st St N, Alabaster, AL 35007, USA",8607,33.252859,-86.812933
01D0026498,ST VINCENT'S ST CLAIR HOSPITAL LABORATORY,3,PELL CITY,AL,"7063 Veterans Pkwy, Pell City, AL 35125, USA",35125,33.6043705,-86.30172530000002
01D0026531,CITIZENS BAPTIST MEDICAL CENTERS LAB,3,TALLADEGA,AL,"604 Stone Ave, Talladega, AL 35160, USA",2217,33.440248,-86.0903316
01D0026808,WALKER BAPTIST MEDICAL CENTER,3,JASPER,AL,"3400 Hwy 78 E, Jasper, AL 35501, USA",35501,33.8422088,-87.2360037
01D0026902,ATHENS LIMESTONE HOSPITAL,3,ATHENS,AL,"700 Market St W, Athens, AL 35611, USA",35611,34.8041941,-86.9784952
01D0026952,LAWRENCE MEDICAL CENTER,3,MOULTON,AL,"202 Hospital St, Moulton, AL 35650, USA",1218,34.4833582,-87.28531939999999
01D0027643,VAUGHAN REGIONAL MEDICAL CENTER,3,SELMA,AL,"1015 Medical Center Pkwy, Selma, AL 36701, USA",36701,32.4292722,-87.05602499999999
01D0299943,MEDICAL WEST HOSPITAL AUTHORITY,3,BESSEMER,AL,"995 9th Ave SW, Bessemer, AL 35022, USA",35022,33.3723666,-86.99046059999999
01D0300143,CULLMAN REGIONAL MEDICAL CENTER,3,CULLMAN,AL,"1912 AL-157, Cullman, AL 35058, USA",35058,34.2010179,-86.8054974
01D0300297,ST VINCENT'S BLOUNT,3,ONEONTA,AL,"150 Gilbreath Dr, Oneonta, AL 35121, USA",2827,33.9333826,-86.4949448
01D0300405,SYLACAUGA PEDIATRIC CLINIC LLC,1,SYLACAUGA,AL,"115 W Clay St, Sylacauga, AL 35150, USA",3413,33.1613656,-86.252549
01D0300711,SOUTHVIEW MEDICAL GROUP PC,3,BIRMINGHAM,AL,"1612, 833 St Vincents Dr #300, Birmingham, AL 35205, USA",35205,33.5958158,-86.66753480000001
01D0301065,PRINCETON BMC LABORATORY,3,BIRMINGHAM,AL,"701 Princeton Ave SW, Birmingham, AL 35211, USA",35211,33.4986619,-86.8469633
01D0301141,LABFIRST - DEPARTMENT OF PATHOLOGY,3,BIRMINGHAM,AL,"3690 Grandview Pkwy, Birmingham, AL 35243, USA",35243,33.4327203,-86.7229942
01D0301450,COOPER GREEN MERCY HEALTH SERVICES,3,BIRMINGHAM,AL,"1515 6th Ave S, Birmingham, AL 35233, USA",35233,33.5036733,-86.806755
01D0301471,LABORATORY CORPORATION OF AMERICA HOLDING,3,BIRMINGHAM,AL,"1801 1st Ave S, Birmingham, AL 35233, USA",35233,33.5106124,-86.8056259
01D0301578,ST VINCENT'S EAST LABORATORY,3,BIRMINGHAM,AL,"810 St Vincents Dr, Birmingham, AL 35205, USA",35205,33.5076708,-86.7883292
01D0302117,MARION REGIONAL MEDICAL CENTER,3,HAMILTON,AL,"1200 Military St S, Hamilton, AL 35570, USA",5048,34.1260041,-87.9905698
01D0302152,NORTHWEST MEDICAL CENTER,3,WINFIELD,AL,"1530 US-43, Winfield, AL 35594, USA",5056,33.9301905,-87.8248436
01D0302280,DECATUR MORGAN HOSPITAL PARKWAY CAMPUS,3,DECATUR,AL,"1874 Beltline Rd SW, Decatur, AL 35603, USA",35603,34.57683919999999,-87.0164382
01D0302306,DECATUR MORGAN HOSPITAL - DECATUR GENERAL CAMPUS,3,DECATUR,AL,"1201 7th St SE, Decatur, AL 35601, USA",35601,34.5906232,-86.97249180000001
01D0302491,NORTH ALABAMA MEDICAL CTR LABORATORY SERVICES,3,FLORENCE,AL,"1701 Veterans Dr, Florence, AL 35630, USA",35630,34.8043939,-87.65094529999999
01D0302636,RUSSELLVILLE HOSPITAL,3,RUSSELLVILLE,AL,"15155 US-43, Russellville, AL 35653, USA",1975,34.5107725,-87.718347
01D0302682,HELEN KELLER HOSPITAL LABORATORY,3,SHEFFIELD,AL,"1300 S Montgomery Ave, Sheffield, AL 35660, USA",35660,34.7460601,-87.6999566
01D0303084,CRESTWOOD MEDICAL CENTER,3,HUNTSVILLE,AL,"1 Hospital Drive Southwest, Huntsville, AL 35801, USA",35801,34.6943814,-86.57202910000001
01D0303123,HUNTSVILLE HOSPITAL LABORATORY,3,HUNTSVILLE,AL,"101 Sivley Rd SW, Huntsville, AL 35801, USA",4470,34.7222077,-86.5823782
01D0303540,GADSDEN REGIONAL MEDICAL CENTER,3,GADSDEN,AL,"1007 Goodyear Ave, Gadsden, AL 35903, USA",35903,34.007668,-85.965891
01D0303624,MARSHALL MEDICAL CENTER SOUTH LAB,3,BOAZ,AL,"2505 US-431, Boaz, AL 35957, USA",35957,34.2213959,-86.1600594
01D0303688,DEKALB REGIONAL MEDICAL CENTER,3,FORT PAYNE,AL,"200 Medical Center Dr SW, Fort Payne, AL 35968, USA",35968,34.4419753,-85.7550138
01D0303828,L V STABLER MEMORIAL HOSPTIAL,3,GREENVILLE,AL,"29 L V Stabler Dr, Greenville, AL 36037, USA",36037,31.829198,-86.6461325
01D0303873,PRATTVILLE BAPTIST HOSPITAL,3,PRATTVILLE,AL,"124 S Memorial Dr, Prattville, AL 36067, USA",36067,32.4639959,-86.45178560000001
01D0303925,TROY REGIONAL MEDICAL CENTER,3,TROY,AL,"1330 US-231, Troy, AL 36081, USA",36081,31.7809791,-85.9452641
01D0304164,JACKSON HOSPITAL & CLINIC,3,MONTGOMERY,AL,"1725 Pine St, Montgomery, AL 36106, USA",36106,32.36708309999999,-86.2853492
01D0304351,BAPTIST MEDICAL CENTER SOUTH LAB,3,MONTGOMERY,AL,"2105 E South Blvd, Montgomery, AL 36116, USA",36116,32.3279933,-86.2775886
01D0304439,BAPTIST MEDICAL CENTER EAST,3,MONTGOMERY,AL,"400 Taylor Rd, Montgomery, AL 36117, USA",36117,32.3759945,-86.1749456
01D0304574,STRINGFELLOW MEMORIAL HOSPITAL,3,ANNISTON,AL,"301 E 18th St, Anniston, AL 36207, USA",36207,33.6682403,-85.8235966
01D0304764,FAIRVIEW CLINIC,3,DOTHAN,AL,"1118 Ross Clark Cir # 303, Dothan, AL 36301, USA",3034,31.2159334,-85.3631805
01D0304933,QHG OF ENTERPRISE INC (DBA MEDICAL CTR ENTERPRISE),3,ENTERPRISE,AL,"400 N Edwards St, Enterprise, AL 36330, USA",36330,31.3186824,-85.8552397
01D0305003,DALE MEDICAL CENTER,3,OZARK,AL,"126 Hospital Ave, Ozark, AL 36360, USA",2018,31.4513601,-85.63198009999999
01D0305079,D W MCMILLAN MEMORIAL HOSPITAL,3,BREWTON,AL,"1301 Belleville Ave, Brewton, AL 36426, USA",36426,31.1263538,-87.0732901
01D0305319,SOUTH BALDWIN REGIONAL MEDICAL CENTER,3,FOLEY,AL,"1613 N McKenzie St, Foley, AL 36535, USA",36535,30.4260938,-87.6843079
01D0305830,SPRINGHILL MEMORIAL HOSPITAL,3,MOBILE,AL,"3719 Dauphin St, Mobile, AL 36608, USA",36608,30.6845615,-88.1310549
01D0305992,USA HEALTH UNIVERSITY HOSPITAL CLINICAL LABORATORY,3,MOBILE,AL,"2451 University Hospital Dr, Mobile, AL 36617, USA",36617,30.7077895,-88.0983646
01D0306015,UNIV OF SOUTH AL CHILDREN'S & WOMEN'S HOSP,3,MOBILE,AL,"1700 Center St, Mobile, AL 36604, USA",36604,30.6974509,-88.077995
01D0641519,CHILDREN'S HOSPITAL OF ALABAMA,3,BIRMINGHAM,AL,"1600 7th Ave S, Birmingham, AL 35233, USA",35233,33.5040328,-86.80528939999999
01D0641531,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3,BIRMINGHAM,AL,"3800 Ridgeway Dr, Birmingham, AL 35209, USA",35209,33.4684537,-86.7858536
01D0641691,BUREAU OF CLINICAL LABORATORIES,1,MONTGOMERY,AL,"8140 Aum Dr, Montgomery, AL 36117, USA",36117,32.362944,-86.1798637
01D0641705,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,3,ANNISTON,AL,"400 E 10th St, Anniston, AL 36207, USA",36207,33.6555729,-85.8234961
01D0641723,SOUTHEAST HEALTH MEDICAL CENTER,3,DOTHAN,AL,"1108 Ross Clark Cir, Dothan, AL 36301, USA",36301,31.2159117,-85.3625287
01D0641733,ANDALUSIA HEALTH,3,ANDALUSIA,AL,"849 S 3 Notch St, Andalusia, AL 36420, USA",36420,31.2962894,-86.4948273
01D0641760,PATHOLOGY LABORATORY ASSOCIATES PA,3,MOBILE,AL,"100 Memorial Hospital Dr # 1D, Mobile, AL 36608, USA",1180,30.683888,-88.130774
01D0641769,USA ANATOMICAL PATHOLOGY LAB,3,MOBILE,AL,"100 Memorial Hospital Dr # 1D, Mobile, AL 36608, USA",1180,30.683888,-88.130774
01D0641772,MOBILE INFIRMARY MED CENTER PATH LAB,3,MOBILE,AL,"3290 Dauphin St #101, Mobile, AL 36606, USA",36606,30.6899464,-88.1244485
01D0641798,EAST ALABAMA MEDICAL CENTER LABORATORY,3,OPELIKA,AL,"121 N 20th St # 22, Opelika, AL 36801, USA",5442,32.6355279,-85.4032533
01D0665335,PROVIDENCE HOSPITAL LABORATORY,3,MOBILE,AL,"6801 Airport Blvd, Mobile, AL 36608, USA",36608,30.6789455,-88.1983144
01D0665515,LABORATORY CORPORATION OF AMERICA HOLDINGS,1,HUNTSVILLE,AL,"1878 Jeff Rd NW ste f, Huntsville, AL 35806, USA",35806,34.810893,-86.7140555
01D0665888,ST VINCENT'S BIRMINGHAM LABORATORY,3,BIRMINGHAM,AL,"810 St Vincents Dr, Birmingham, AL 35205, USA",35205,33.5076708,-86.7883292
01D0668136,UAHSF DIAGNOSTIC VIROLOGY LABORATORY,1,BIRMINGHAM,AL,"1717 6th Ave S, Birmingham, AL 35233, USA",1801,33.504733,-86.8040872
01D0668455,PATHOLOGY ASSOCIATES PC,3,HUNTSVILLE,AL,"2904 Westcorp Blvd SW # 108, Huntsville, AL 35805, USA",6436,34.709907,-86.60454299999999
01D0671555,MONROE COUNTY HOSPITAL,3,MONROEVILLE,AL,"2016 S Alabama Ave, Monroeville, AL 36460, USA",3044,31.4979448,-87.3205756
01D0678593,UAB UNIVERSITY OF ALABAMA HOSPITAL LAB,3,BIRMINGHAM,AL,"1802 6th Ave S, Birmingham, AL 35233, USA",1932,33.5066166,-86.8031287
01D0692172,DCH REGIONAL MED CNTR INPATIENT LAB,3,TUSCALOOSA,AL,"809 University Blvd E, Tuscaloosa, AL 35401, USA",35401,33.2047297,-87.5266377
01D0693588,FLOWERS HOSPITAL,3,DOTHAN,AL,"4370 W Main St, Dothan, AL 36305, USA",36305,31.23790679999999,-85.45675700000001
01D0699560,NORTHPORT MEDICAL CENTER,3,NORTHPORT,AL,"2700 Hospital Dr, Northport, AL 35476, USA",35476,33.2342044,-87.5705431
01D0707898,BROOKWOOD BAPTIST HEALTH BMC LLC,3,BIRMINGHAM,AL,"1130 22nd St S #1000, Birmingham, AL 35205, USA",35205,33.501988,-86.7923194
